Model,Dataset,Early Stopping,ValLoss,ValAUROC,TestLoss,TestAUROC,Hyper
blr,bank-marketing,52,0.5848347968697376,0.9041573405265808,0.5862711139915654,0.9080508947372437,{'lr': 0.003}
blr,census-income,94,0.5557707807890437,0.9050127267837524,0.5756371895128171,0.900193452835083,{'lr': 0.03}
blr,mnist-odd,64,0.34579817436818266,0.9647155404090881,0.37461020385720173,0.9602590799331665,{'lr': 0.1}
fcnn,bank-marketing,120,0.49157597629882904,0.925521969795227,0.4845830957266848,0.9281399250030518,{'lr': 0.001, 'dropout': 0.5}
fcnn,census-income,120,0.5412059600907143,0.9103032946586609,0.5579737873820516,0.9049400091171265,{'lr': 0.003, 'dropout': 0.75}
fcnn,mnist-odd,112,0.05976383777235838,0.9980857372283936,0.06144311047907688,0.9987192153930664,{'lr': 0.003, 'dropout': 0.25}
ndt,bank-marketing,126,0.4908046853146684,0.9241394400596619,0.4805000915499821,0.9281005263328552,{'lr': 0.003, 'tree_depth': 3}
ndt,census-income,119,0.5466194035858991,0.9077416062355042,0.5668666627671984,0.9018515348434448,{'lr': 0.003, 'tree_depth': 2}
ndt,mnist-odd,102,0.055128501521216504,0.99874347448349,0.0623510814504362,0.998625636100769,{'lr': 0.003, 'tree_depth': 9}
ngts,bank-marketing,56,0.4838465956210402,0.9269676208496094,0.4869172669420339,0.9289822578430176,{'lr': 0.01, 'tree_depth': 3}
ngt,bank-marketing,15,0.49428686951145984,0.9037591814994812,0.7899155864467869,0.9000548720359802,{'lr': 0.01, 'tree_depth': 9}
ngt,census-income,52,0.5478753586008092,0.9065622687339783,0.5763492628953502,0.9010673761367798,{'lr': 0.01, 'tree_depth': 2}
ngt,mnist-odd,26,0.06119545662041867,0.9984807968139648,0.05692395705509324,0.9990315437316895,{'lr': 0.03, 'tree_depth': 9}
nst,bank-marketing,113,0.486324703882611,0.9261592626571655,0.4859906426411859,0.9289027452468872,{'lr': 0.003, 'tree_depth': 8}
nst,census-income,125,0.5499891302458308,0.906368613243103,0.5657543007601563,0.9013556241989136,{'lr': 0.003, 'tree_depth': 9}
nst,mnist-odd,96,0.06324986552263236,0.9984115362167358,0.06210338996258306,0.9987002611160278,{'lr': 0.03, 'tree_depth': 9}
